,Text,Label
0,"Просто слухайте цей діалог. Ні, це не нарізка і фільм Тарантіно.",True
1,️ Рубль став найнестабільнішою валютою у всьому світі,True
2,"️СБУ опублікували перехоплені розмови бойовиків так званих «Л/ДНР». На записах нібито йдеться про те,",True
3,Перше звернення мера Мелітополя Івана Федорова після звільнення,True
4,"Росія загрожує Боснії ""українським сценарієм"" через її можливе вступ до НАТО.",True
5,"Енергоатом повідомив, що окупанти пошкодили високовольтну лінію електропередач Запорізька АЕС — Каховська.",True
6,Узгодження мирного договору України та Росії може зайняти від кількох днів до півтора тижнів - Подоляк.,True
7,Макрон закликає готуватися до великої війни у ​​Європі:,True
8,"Байден має намір заявити Сі Цзіньпіну, що США вживуть заходів, якщо з'ясується, що Китай підтримує дії Росії в Україні",True
9,Урядові літаки РФ здійснили незвичайні рейси з Москви до Сибіру,True
10,"У Києві обстріляно житловий квартал у Подільському районі, — КМДА",True
11,️Наслідки обстрілу Києва сьогодні вранці.,True
12,У США запропонували заблокувати російських користувачів на криптобіржах,True
13,"Путін у розмові з Шольцом заявив, що Київ висуває ""нереалістичні пропозиції"" на українсько-російських переговорах, - прес-служба Кремля.",True
14,Володимир Зеленський записав нове звернення:,True
15,У Запоріжжі встановили могильну пам'ятку путіну.,True
16,"""Якщо у нас спробують відібрати нашу країну, нашу свободу, наші життя, життя наших дітей - ми захищатимемося!""",True
17,Маріуполь. Кошмарні наслідки обстрілів.,True
18,"Тиханівська, виступаючи в ООН, закликала офіційно визнати Білорусь тимчасово окупованою.",True
19,"Ведучий «Світу навиворіт» Дмитро Комаров став «ворогом Росії» «Приймаю вітання! Почесне звання «Ворог Росії» від Комітету захисту національних інтересів. Отже, я живу чесно і мені не соромно дивитися людям у вічі. Та й компашка нас, «ворогів та зрадників РФ», цікава зібралася. Макаревич, Кличко, Гребінників, Навальний та інші», - написав він.",True
20,Нормальна російська жінка Тамара прокинулася в холодному поті та…,True
21,Так виглядає Маріуполь після багатоденного обстрілу,True
22,Зеленський підписав закон про продовження терміну дії військового стану в Україні на 30 діб із 26 березня.,True
23,"В Україну відправлять лівійських ""добровольців"" для участі у війні на боці Росії - Генштаб.",True
24,"Росіяни вперше використовували ""Гради"" на території Житомирської області",True
25,"Гордон відреагував на порушення проти нього кримінальної справи в Росії і заявив, що Гаага чекає на Путіна і що президент Росії є військовим злочинцем.",True
26,"На сьогоднішній день від рук окупантів в Україні загинула 121 дитина, 167 отримали травми різного ступеня тяжкості.",True
27,"️Маріуполь сьогодні, житлові будинки, ""спецоперація"" військове вторгнення в Україну",True
28,"Глава дипломатії ЄС про фінал війни РФ проти України: все вирішиться у найближчі 15 днів, а те, що роблять українці – увійде в історію",True
29,Російські ЗМІ повідомляють про смерть Жириновського.,True
30,У Шойгу інфаркт. Тому він не з'являється на офіційних заходах із середини березня.,True
31,"Схоже, росія дає знати Польщі, що їхні ракети можуть долетіти і до Байдена, що за 80 км від кордону з Україною. Американці обіцяють, що мова Байдена у Варшаві буде історичною.",True
32,"«Готуйте мішки для трупів. Для себе"". Ось такі накази роздає командування.",True
33,"П'яне чмо в Москві пристало до українців і спробувало розповісти, що він зробить з їхніми дітьми.",True
34,Отак зараз виглядає траса біля Бородянки.,True
35,Арестович також відреагував на заяви з боку РФ про обстріл нафтобази у Білгороді українською авіацією,True
36,"Зелений закликав виключити Росію з Ради безпеки ООН, щоб країна-агресора не мала права вето. За його словами, Росія перетворює право вето на право смерті.",True
37,"«Не існує жодного сценарію, який би не передбачав перемоги України», — держсекретар США Ентоні Блінкен",True
38,"Лукашенко заявив, що Білорусь провела в Україні ""спецоперацію"" зі звільнення білоруських громадян",True
39,"У кожного п'ятого читача «Мінфіну» вже закінчилися заощадження За місяць із невеликим з початку війни 4 млн українців були змушені виїхати за кордон. Ще мільйони залишили свої будинки, хоч і лишилися в Україні. Дуже багато хто втратив роботу. У цій ситуації багатьом довелося витрачати свої заощадження. Рада в цей неспокійний час: навчитеся інвестувати.",True
40,"Путін намагається зібрати на Донбасі сили, які за чисельністю перевищать українські війська на сході країни в 5 до 1",True
41,"За крейсером Москва. Інформація про те, чи потонув він",True
42,"Чоловіків призовного віку залучатимуть до відновлення міст. Вони не підлягатимуть мобілізації, -",True
43,В Україні активно набирає популярність,True
44,"Російським військовим не вдалося евакуювати екіпаж крейсера ""Москва"", що затонув.",True
45,Херсон24 оккупанти запустили пропагандистський канал у Херсонській області.,True
46,Окупаційна влада так званих «ЛНР» та «ДНР» мобілізує,True
47,"За словами Арестовича, якщо загинуть захисники Маріуполя, то Україна, як і сказав Зеленський, вийде з переговорів із Росією",True
48,П'ять потужних ракетних ударів по цивільній інфраструктурі у Львові підтвердив Михайло Подоляк,True
49,️ Повітряну тривогу знову оголошено в деяких областях країни,True
50,"️Народний депутат Княжицький повідомив, що внаслідок обстрілів у Львові є загиблі та поранені",True
51,"6 загиблих та 8 постраждалих, серед яких – 1 дитина в результаті ударів по Львову",True
52,️У Харкові повідомляють про нові вибухи у місті!,True
53,Затриманий СБУ нардеп Віктор Медведчук звернувся до Президента України Володимира Зеленського та Президента РФ Володимира Путіна з пропозицією обміняти його на захисників та мешканців Маріуполя,True
54,Нові поставки техніки на озброєння ЗСУ від рішки,True
55,️Увага️Банки виплатять грошову допомогу всім українцям️,True
56,"Потужно засунув. Лаконічно, головне. Ну як завжди",True
57,Свіжі заяви Арестовича щодо ситуації на Сході України,True
58,"У Кремлі бачили звернення Медведчука, опубліковане СБУ, але жодної реакції на це поки немає, - заявив прес-секретар президента РФ Дмитро Пєсков.",True
59,"«Окупанти скинули потужну бомбу на лікарню в районі ""Азовсталі"", — бізнесмен Сергій Тарута",True
60,На відновлення Ірпеня знадобиться близько $1 млрд.,True
61,Росія за добу 21 раз обстріляла Донецьку область: є загиблі та поранені,True
62,"Президент США Джо Байден заявив, що Штати направлятимуть більше артилерійських озброєнь Україні, - Reuters",True
63,Програма TikTok стала недоступною для завантаження в російському App Store,True
64,Артилерія ЗСУ розчищає поля від ворожої техніки,True
65,Путін планує провести примусову мобілізацію на окупованих територіях Запорізької та Херсонської областей.,True
66,"«Росія передала Україні проект документа з чіткими формулюваннями і чекає на відповідь, м'яч на стороні Києва, заявив Пєсков.",True
67,"""Москва"" тепер належить Україні. За всіма міжнародними конвенціями, судно переходить у власність у тій країні, в чиїх водах воно затонуло, а флагман російського флоту лежить лише за 50 миль від українського берега. Вчені вже планують експедицію до гордості російського флоту, що затонула.",True
68,️Міністерство оборони Великобританії публікує нову карту бойових дій на території України.,True
69,Сьогодні в Єльську (Білорусь) відбувалося навантаження техніки на ешелони біля залізничного вокзалу,True
70,Артилерія ЗСУ розчищає поля від ворожої техніки,True
71,"У всіх пропагандистських ЗМІ Росії зараз обговорюється тема постачання зброї та важкої техніки від наших західних партнерів. Але вони забули згадати про те, що на даний момент одним із найбільших постачальників техніки ЗСУ є горе-армія окупантів. На фото черговий трофей – ТОС-1А «Сонцепік».",True
72,Мер Миколаєва підтверджує вибухи у місті та просить перебувати у безпечному місці.,True
73,Усі пам'ятають цю мерзотність? Дивіться зі звуком,True
74,"Японія офіційно скасувала торговий статус Росії ""найбільшого сприяння"" через вторгнення в Україну.",True
75,"️ВСУ вдарять Кримським мостом, як тільки у них з'явиться така можливість — секретар РНБО Олексій Данилов",True
76,"Президент України Володимир Зеленський заявив, що готовий до зустрічі з Володимиром Путіним. За його словами, для цього потрібно, щоб російська сторона сказала фразу про закінчення війни, а також назвала день та місце зустрічі. Про це глава української держави розповів в інтерв'ю французькому каналу BFM TV.",True
77,Володимир Зеленський опублікував нові фотографії руйнувань російськими українськими територіями:,True
78,"Околиці селища Мангуш, де відбуваються масові поховання маріупольців, убитих російською армією",True
79,"Справжнє обличчя російського солдата1995 рік, Чечня",True
80,️Олексій Арестович звернувся до мешканців тимчасово окупованих територій України,True
81,"Під Маріуполем знайшли нову 30-метрову братську могилу, - мер міста Вадим Бойченко",True
82,"Україна зараз має більше танків, ніж Росія",True
83,Наслідки сьогоднішнього ракетного удару по Запоріжжю,True
84,"У Росії все настільки погано, що голова держради анексованого Криму просить людей скинутися на новий крейсер",True
85,Зловили і по черзі покарали мародерку Відео повністю -,True
86,Карта бойових дій в Україні на 21 квітня в інфографіці від Міноборони Британії.,True
87,️Президент Зеленський створив Нацраду з відновлення України після війни,True
88,Інвестори йдуть з Росії Більше 75% іноземних компаній згорнули свою діяльність у Росії,True
89,Упав літак Ан-26 в Запорізькій області,True
90,"Понад 594 дітей постраждали внаслідок повномасштабної агресії Росії в Україні,",True
91,Світовий банк оцінив збитки інфраструктурі України в $60 млрд - президент СБ Девід Малпас,True
92,Американський Інститут вивчення війни опублікував актуальну карту бойових дій в Україні,True
93,"Німеччина виділяє Україні екстрену допомогу у розмірі 37 млн ​​євро, - міністр економічного розвитку Свенья Шульце газеті Augsburger Allgemeine",True
94,"Росіяни обстріляли Слов'янськ, ймовірно, касетними бомбами. Закликаємо городян евакуюватись",True
95,"Німеччина не може передати на прохання України важке озброєння, яким користується Бундесвер через загрозу російській агресії проти НАТО канцлер Олаф Шольц в інтерв'ю Spiegel",True
96,"Терорист і колишній ФСБшник Ігор Стрєлков-Гіркін підтвердив повідомлення, що з'являлися раніше, що на території так званих",True
97,Окупанти зруйнували майже 3 тисячі пам'ятників на цвинтарі Яцеве у Чернігові.,True
98,Момент та наслідки попадання ракети до складів Нової Пошти у Коротичі.,True
99,"Українців з Маріуполя депортують у віддалені регіони Росії через днр спочатку маніпуляціями, потім силою. Лише небагатьом вдається «зійти з маршруту». Історія пенсіонерів із Маріуполя, які врятувалися завдяки своїй дочці.",True
100,"Британія не даватиме Україні гарантії безпеки, аналогічні 5-й статті статуту НАТО, - Борис Джонсон",True
101,"Держприкордонслужба повідомляє, що на в'їзд в Україну з боку Польщі утворилася черга",True
102,"Телеканал «Україна24» повідомляє, що хакери зламали ефір національного телемарафону. У рядку, що біжить, з'являється повідомлення:",True
103,Переговори щодо гарантій безпеки для України з країнами-партнерами завершаться протягом тижня.,True
104,"️Контрнаступ ЗСУ на Маріуполь буде 101%, - Арестович",True
105,"Важливий виступ Президента: ""Мрія рашиста - вкрасти унітаз і померти""",True
106,"Росія могла використовувати в Маріуполі сльозогінний газ, змішаний із хімічними речовинами",True
107,️Прогноз по війні та ядерній атаці від Американського Інституту вивчення війни на найближчий час:,True
108,Просто та доступно про безглуздість тактичної ядерної зброї у війні рашистів з Україною від фізика-ядерника.,True
109,"Гарантії безпеки зроблять Україну «невразливою» від нападів у майбутньому, – Борис Джонсон. Також прем'єр-міністр Великобританії заявив, що сьогодні потрібно допомогти українським захисникам відбити російську загрозу.",True
110,"ВВС здійснили успішний контрнаступ, вчора вранці розпочали наступальні операції на ворога, повідомив голова Харківської ОВА Олег Синегубов.",True
111,Прикордонна служба України заявила про обстріл Чернігівської області зі сторони Росії,True
112,У Великдень орки планують влаштувати ще більше обстрілів мирного населення та українських захисників,True
113,У Києві під час повітряної тривоги зупинятимуть рух поїздів метро.,True
114,Одеські ЗМІ пишуть про не менше трьох загиблих внаслідок сьогоднішнього удару по місту.,True
